experiment,model,seed,final_val_acc,best_val_acc,n_val
main_9q,ccnn_big,42,0.98,0.985,200
main_9q,ccnn_big,153,0.98,0.98,200
main_9q,ccnn_big,264,0.98,0.985,200
main_9q,ccnn_big,375,0.985,0.985,200
main_9q,ccnn_big,486,0.98,0.98,200
main_9q,ccnn_big,597,0.99,0.99,200
main_9q,ccnn_big,708,0.98,0.99,200
main_9q,ccnn_big,819,0.98,0.98,200
main_9q,ccnn_big,930,0.99,0.99,200
main_9q,ccnn_big,1041,0.99,0.99,200
main_9q,ccnn_small,42,0.965,1.0,200
main_9q,ccnn_small,153,0.95,0.98,200
main_9q,ccnn_small,264,0.975,1.0,200
main_9q,ccnn_small,375,0.955,0.975,200
main_9q,ccnn_small,486,0.99,1.0,200
main_9q,ccnn_small,597,0.96,0.965,200
main_9q,ccnn_small,708,0.975,0.975,200
main_9q,ccnn_small,819,0.97,1.0,200
main_9q,ccnn_small,930,0.99,0.995,200
main_9q,ccnn_small,1041,0.97,1.0,200
main_9q,qcnn_hybrid,42,0.955,0.985,200
main_9q,qcnn_hybrid,153,0.965,0.965,200
main_9q,qcnn_hybrid,264,0.915,0.95,200
main_9q,qcnn_hybrid,375,0.935,0.975,200
main_9q,qcnn_hybrid,486,0.98,0.98,200
main_9q,qcnn_hybrid,597,0.97,0.98,200
main_9q,qcnn_hybrid,708,0.955,0.96,200
main_9q,qcnn_hybrid,819,0.94,0.945,200
main_9q,qcnn_hybrid,930,0.92,0.94,200
main_9q,qcnn_hybrid,1041,0.91,0.935,200
noise_4q,noiseless,42,0.965,0.985,200
noise_4q,noiseless,43,0.97,0.97,200
noise_4q,noiseless,44,0.97,0.975,200
noise_4q,noiseless,45,0.955,0.965,200
noise_4q,noiseless,46,0.97,0.97,200
noise_4q,noiseless,47,0.965,0.965,200
noise_4q,noiseless,48,0.935,0.98,200
noise_4q,noiseless,49,0.95,0.975,200
noise_4q,noiseless,50,0.97,0.97,200
noise_4q,noiseless,51,0.99,0.99,200
noise_4q,noisy,42,0.96,0.975,200
noise_4q,noisy,43,0.965,0.965,200
noise_4q,noisy,44,0.97,0.975,200
noise_4q,noisy,45,0.95,0.96,200
noise_4q,noisy,46,0.97,0.97,200
noise_4q,noisy,47,0.965,0.97,200
noise_4q,noisy,48,0.94,0.98,200
noise_4q,noisy,49,0.945,0.97,200
noise_4q,noisy,50,0.97,0.97,200
noise_4q,noisy,51,0.985,0.985,200
